"","date","incident_num","incident_type","city","state","zip","county","destroyed","major","minor","affected","injured","hospitalized","deceased","adults","children","families","assistance","verified","dispatched","responders_id","on_scene","departed"
"108",2014-01-23,140653,"HazMat","Chicago","IL",60623,"Cook",0,0,0,4,0,0,0,0,0,0,NA,2014-01-23 19:30:00,2014-01-23 19:30:00,2014-01-23 19:35:00,2014-01-23 20:00:00,2014-01-23 20:45:00
"109",2014-01-23,140654,"Fire","Chicago","IL",60637,"Cook",0,1,0,0,0,0,0,1,0,0,NA,2014-01-23 20:58:00,NA,2014-01-23 21:05:00,2014-01-23 22:00:00,2014-01-23 22:18:00
"110",2014-01-23,140657,"Fire","Chicago","IL",60652,"Cook",0,1,0,0,1,1,0,3,1,1,625,2014-01-23 22:44:00,2014-01-23 22:50:00,2014-01-23 23:08:00,2014-01-24 00:15:00,2014-01-24 01:23:00
"111",2014-01-23,140665,"Fire","Bellwood","IL",60104,"Cook",0,1,0,0,0,0,0,3,2,1,NA,2014-01-24 02:22:00,2014-01-24 03:45:00,2014-01-24 03:46:00,2014-01-24 05:00:00,2014-01-24 05:28:00
"112",2014-01-23,140667,"Fire","Chicago","IL",60632,"Cook",0,1,0,0,0,0,0,2,0,1,275,2014-01-24 03:03:00,2014-01-24 03:08:00,2014-01-24 03:25:00,2014-01-24 04:04:00,2014-01-24 05:32:00
"113",2014-01-23,140668,"Fire","Chicago","IL",60612,"Cook",0,0,0,1,0,0,0,0,0,0,NA,2014-01-24 03:03:00,2014-01-24 03:08:00,2014-01-24 03:30:00,2014-01-24 04:20:00,2014-01-24 04:45:00
"114",2014-01-24,140671,"Fire","Chicago","IL",60614,"Cook",0,0,0,3,0,0,0,2,0,2,610,2014-01-24 09:23:00,2014-01-24 09:25:00,2014-01-24 09:30:00,2014-01-24 09:50:00,2014-01-24 11:39:00
"115",2014-01-24,140673,"Fire","Chicago","IL",60632,"Cook",0,2,0,0,0,0,0,6,0,2,1335,NA,NA,2014-01-24 16:33:00,2014-01-24 17:02:00,2014-01-24 19:31:00
"116",2014-01-24,140674,"Fire","Chicago","IL",60638,"Cook",0,1,0,0,0,0,0,1,5,1,1105,2014-01-24 18:48:00,NA,2014-01-24 19:00:00,2014-01-24 19:24:00,2014-01-24 20:32:00
"117",2014-01-24,140675,"Fire","Glen Ellyn","IL",60137,"Dupage",0,1,0,0,0,0,0,4,0,1,339,2014-01-24 19:08:00,NA,2014-01-24 19:47:00,2014-01-24 20:21:00,2014-01-24 20:45:00
"118",2014-01-24,140677,"Fire","Chicago","IL",60619,"Cook",0,1,0,0,0,0,0,0,0,0,NA,2014-01-24 21:41:00,2014-01-24 21:45:00,2014-01-24 22:05:00,2014-01-24 23:01:00,2014-01-24 23:20:00
"119",2014-01-24,140679,"Fire","Bonfield","IL",60913,"Kankakee",0,1,0,0,0,0,0,2,3,1,NA,2014-01-24 15:37:00,2014-01-25 03:38:00,2014-01-25 03:55:00,2014-01-25 06:05:00,2014-01-25 07:30:00
"120",2014-01-25,140681,"Fire","Kankakee","IL",60901,"Kankakee",1,0,0,0,0,0,0,1,2,1,625,2014-01-25 06:18:00,NA,2014-01-29 15:00:00,2014-01-27 17:00:00,2014-01-27 18:30:00
"121",2014-01-25,140682,"Fire","Chicago","IL",60636,"Cook",2,1,1,2,0,0,0,5,0,2,890,2014-01-25 09:55:00,NA,2014-01-25 10:21:00,2014-01-25 11:30:00,2014-01-25 13:31:00
"122",2014-01-25,140683,"Fire","Chicago","IL",60623,"Cook",3,0,0,0,0,0,0,0,0,0,1485,2014-01-25 11:05:00,NA,2014-01-25 11:25:00,2014-01-25 14:00:00,2014-01-25 15:20:00
